,nation,player_name,team,url
0,Portugal,Cristiano Ronaldo,Real Madrid,https://www.fifaindex.com/player/20801/cristiano-ronaldo/
1,Argentina,Lionel Messi,FC Barcelona,https://www.fifaindex.com/player/158023/lionel-messi/
2,Brazil,Neymar,PSG,https://www.fifaindex.com/player/190871/neymar/
3,Uruguay,Luis Su?rez,FC Barcelona,https://www.fifaindex.com/player/176580/luis-su%C3%A1rez/
4,Germany,Manuel Neuer,FC Bayern,https://www.fifaindex.com/player/167495/manuel-neuer/
5,Poland,Robert Lewandowski,FC Bayern,https://www.fifaindex.com/player/188545/robert-lewandowski/
6,Spain,De Gea,Manchester Utd,https://www.fifaindex.com/player/193080/de-gea/
7,Belgium,Kevin De Bruyne,Manchester City,https://www.fifaindex.com/player/192985/kevin-de-bruyne/
8,Belgium,Eden Hazard,Chelsea,https://www.fifaindex.com/player/183277/eden-hazard/
9,Germany,Toni Kroos,Real Madrid,https://www.fifaindex.com/player/182521/toni-kroos/
10,Argentina,Gonzalo Higua?n,Juventus,https://www.fifaindex.com/player/167664/gonzalo-higua%C3%ADn/
11,Spain,Sergio Ramos,Real Madrid,https://www.fifaindex.com/player/155862/sergio-ramos/
12,Belgium,Thibaut Courtois,Chelsea,https://www.fifaindex.com/player/192119/thibaut-courtois/
13,Chile,Alexis S?nchez,Arsenal,https://www.fifaindex.com/player/184941/alexis-s%C3%A1nchez/
14,Croatia,Luka Modri?,Real Madrid,https://www.fifaindex.com/player/177003/luka-modri%C4%87/
15,Wales,Gareth Bale,Real Madrid,https://www.fifaindex.com/player/173731/gareth-bale/
16,Argentina,Sergio Ag?ero,Manchester City,https://www.fifaindex.com/player/153079/sergio-ag%C3%BCero/
17,Italy,Giorgio Chiellini,Juventus,https://www.fifaindex.com/player/138956/giorgio-chiellini/
18,Italy,Gianluigi Buffon,Juventus,https://www.fifaindex.com/player/1179/gianluigi-buffon/
19,France,N'Golo Kant?,Chelsea,https://www.fifaindex.com/player/215914/ngolo-kant%C3%A9/
20,Argentina,Paulo Dybala,Juventus,https://www.fifaindex.com/player/211110/paulo-dybala/
21,Slovenia,Jan Oblak,Atl?tico Madrid,https://www.fifaindex.com/player/200389/jan-oblak/
22,France,Antoine Griezmann,Atl?tico Madrid,https://www.fifaindex.com/player/194765/antoine-griezmann/
23,Spain,Thiago,FC Bayern,https://www.fifaindex.com/player/189509/thiago/
24,Gabon,Pierre-Emerick Aubameyang,Bor. Dortmund,https://www.fifaindex.com/player/188567/pierre-emerick-aubameyang/
25,Germany,J?r?me Boateng,FC Bayern,https://www.fifaindex.com/player/183907/j%C3%A9r%C3%B4me-boateng/
26,Uruguay,Diego God?n,Atl?tico Madrid,https://www.fifaindex.com/player/182493/diego-god%C3%ADn/
27,Uruguay,Edinson Cavani,PSG,https://www.fifaindex.com/player/179813/edinson-cavani/
28,Germany,Mats Hummels,FC Bayern,https://www.fifaindex.com/player/178603/mats-hummels/
29,Spain,David Silva,Manchester City,https://www.fifaindex.com/player/168542/david-silva/
30,France,Hugo Lloris,Spurs,https://www.fifaindex.com/player/167948/hugo-lloris/
31,Slovenia,Samir Handanovi?,Inter,https://www.fifaindex.com/player/162835/samir-handanovi%C4%8D/
32,Sweden,Zlatan Ibrahimovi?,Manchester Utd,https://www.fifaindex.com/player/41236/zlatan-ibrahimovi%C4%87/
33,Netherlands,Arjen Robben,FC Bayern,https://www.fifaindex.com/player/9014/arjen-robben/
34,Italy,Marco Verratti,PSG,https://www.fifaindex.com/player/199556/marco-verratti/
35,France,Paul Pogba,Manchester Utd,https://www.fifaindex.com/player/195864/paul-pogba/
36,Denmark,Christian Eriksen,Spurs,https://www.fifaindex.com/player/190460/christian-eriksen/
37,Italy,Leonardo Bonucci,Milan,https://www.fifaindex.com/player/184344/leonardo-bonucci/
38,Brazil,Marcelo,Real Madrid,https://www.fifaindex.com/player/176676/marcelo/
39,Germany,Mesut ?zil,Arsenal,https://www.fifaindex.com/player/176635/mesut-%C3%B6zil/
40,Slovakia,Marek Ham??k,Napoli,https://www.fifaindex.com/player/171877/marek-ham%C5%A1%C3%ADk/
41,Croatia,Ivan Rakiti?,FC Barcelona,https://www.fifaindex.com/player/168651/ivan-rakiti%C4%87/
42,Brazil,Thiago Silva,PSG,https://www.fifaindex.com/player/164240/thiago-silva/
43,Spain,Piqu?,FC Barcelona,https://www.fifaindex.com/player/152729/piqu%C3%A9/
44,Spain,Iniesta,FC Barcelona,https://www.fifaindex.com/player/41/iniesta/
45,England,Harry Kane,Spurs,https://www.fifaindex.com/player/202126/harry-kane/
46,Colombia,James Rodr?guez,FC Bayern,https://www.fifaindex.com/player/198710/james-rodr%C3%ADguez/
47,Italy,Lorenzo Insigne,Napoli,https://www.fifaindex.com/player/198219/lorenzo-insigne/
48,Spain,Isco,Real Madrid,https://www.fifaindex.com/player/197781/isco/
